2022-04-24 11:15:43,330 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@1d16f93d: startup date [Sun Apr 24 11:15:43 CST 2022]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2022-04-24 11:15:46,069 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[C:\Users\kezhou3\Downloads\apache-activemq-5.16.4-bin\apache-activemq-5.16.4\bin\..\data\kahadb] | org.apache.activemq.broker.BrokerService | main
2022-04-24 11:15:46,346 | INFO  | PListStore:[C:\Users\kezhou3\Downloads\apache-activemq-5.16.4-bin\apache-activemq-5.16.4\bin\..\data\localhost\tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2022-04-24 11:15:46,655 | INFO  | Apache ActiveMQ 5.16.4 (localhost, ID:kezhou3-50971-1650770146486-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2022-04-24 11:15:46,722 | INFO  | Listening for connections at: tcp://kezhou3:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-04-24 11:15:46,729 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2022-04-24 11:15:46,752 | INFO  | Listening for connections at: amqp://kezhou3:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-04-24 11:15:46,770 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2022-04-24 11:15:46,847 | INFO  | Listening for connections at: stomp://kezhou3:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2022-04-24 11:15:46,896 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2022-04-24 11:15:46,937 | INFO  | Listening for connections at: mqtt://kezhou3:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
